No,TIME,Pos1_Relative@RevJoint1,Pos1_Relative@RevJoint2,Vel1_Relative@RevJoint1,Vel1_Relative@RevJoint2,Acc1_Relative@RevJoint1,Acc1_Relative@RevJoint2
255,2.54,-2.5784671,62.659082,4.8338458,-2.1620075,54.454328,-89.82479
256,2.55,0.31226141,61.192845,5.2871223,-2.982157,48.369878,-84.618231
257,2.56,3.4476496,59.269463,5.6857907,-3.755869,42.701183,-79.786879
258,2.57,6.7977632,56.91471,6.0344344,-4.4862638,37.476642,-75.288611
259,2.58,10.335218,54.152776,6.3375087,-5.1758141,32.697165,-71.066229
260,2.59,14.034941,51.006807,6.598841,-5.8258855,28.321208,-67.026835
261,2.6,17.873593,47.49978,6.8209505,-6.4360008,24.247703,-63.016632
262,2.61,21.828531,43.655909,7.0041486,-7.0027707,20.295776,-58.790203
263,2.62,25.876188,39.502777,7.1454044,-7.5184658,16.182312,-53.976407
264,2.63,29.98976,35.074329,7.2370603,-7.9693567,11.504498,-48.051527
265,2.64,34.136257,30.414711,7.2657357,-8.3343019,5.746525,-40.346859
266,2.65,38.273274,25.582408,7.2121822,-8.5846564,-1.6547239,-30.139252
267,2.66,42.346418,20.653416,7.0532391,-8.6870907,-11.14778,-16.875373
268,2.67,46.288829,15.721472,6.7667184,-8.6104422,-22.81731,-0.51522088
269,2.68,50.024034,10.893634,6.3383426,-8.3353179,-36.164158,18.16988
270,2.69,53.472126,6.2813283,5.7675016,-7.8619044,-50.110785,37.617527
271,2.7,56.557406,1.9895024,5.068216,-7.210978,-63.322634,55.934268
272,2.71,59.214812,-1.8923351,4.2646578,-6.4173021,-74.678091,71.556482
273,2.72,61.393262,-5.2946035,3.3841464,-5.5195756,-83.593456,83.700595
274,2.73,63.055725,-8.1674516,2.4512605,-4.5520594,-90.056879,92.401274
275,2.74,64.17704,-10.477375,1.4848227,-3.5403316,-94.448149,98.248948
276,2.75,64.740846,-12.202582,0.49750797,-2.5007947,-97.303697,102.05211
277,2.76,64.736652,-13.328614,-0.50299108,-1.4424171,-99.134502,104.57588
278,2.77,64.157674,-13.845091,-1.5121029,-0.36948566,-100.31895,106.38739
279,2.78,62.999699,-13.744012,-2.5263162,0.71533525,-101.05387,107.78386
280,2.79,61.261157,-13.019826,-3.5409687,1.8077079,-101.32813,108.7528
281,2.8,58.944516,-11.67149,-4.5477878,2.897962,-100.89731,108.93454
282,2.81,56.059175,-9.7067425,-5.532157,3.9670531,-99.25705,107.58425
283,2.82,52.625836,-7.1485498,-6.4705242,4.9827672,-95.643502,103.57569
284,2.83,48.681833,-4.0429382,-7.3292227,5.8980278,-89.127728,95.542603
285,2.84,44.285894,-0.46599645,-8.066748,6.6542541,-78.877599,82.262626
286,2.85,39.520003,3.4733665,-8.6408923,7.1917575,-64.568823,63.254435
287,2.86,34.486325,7.6378472,-9.0191166,7.4648425,-46.737894,39.290473
288,2.87,29.299253,11.873305,-9.187008,7.4542064,-26.772052,12.387756
289,2.88,24.075263,16.023626,-9.1497999,7.169383,-6.4434799,-14.858978
290,2.89,18.924036,19.943865,-8.9270908,6.6413213,12.699448,-40.157107
291,2.9,13.943126,23.508303,-8.5446968,5.9106233,29.726082,-62.098903
292,2.91,9.2164035,26.612982,-8.0278668,5.0174718,44.364024,-80.243066
293,2.92,4.8150883,29.174271,-7.3977728,3.9960967,56.794277,-94.839362
294,2.93,0.80005783,31.125313,-6.670453,2.8726692,67.419411,-106.50828
295,2.94,-2.7757013,32.41196,-5.8575404,1.6658291,76.667311,-115.95877
296,2.95,-5.8651079,32.98913,-4.967609,0.38821473,84.884528,-123.82721
297,2.96,-8.4257356,32.818033,-4.0076918,-0.95160667,92.289323,-130.59716
298,2.97,-10.41944,31.864566,-2.9849357,-2.3468584,98.946851,-136.54917
299,2.98,-11.813092,30.099281,-1.9087381,-3.7894509,104.72879,-141.68922
300,2.99,-12.581011,27.499811,-0.79421573,-5.2648934,109.21109,-145.59257
301,3,-12.710156,24.057345,0.33203265,-6.7438895,111.48692,-147.1306
302,3.01,-12.209562,19.789246,1.4232552,-8.1697393,109.91048,-144.10018
303,3.02,-11.124545,14.758699,2.4037163,-9.4453213,102.0009,-133.0722
304,3.03,-9.5520174,9.0963444,3.1700108,-10.43403,85.086595,-110.27132
305,3.04,-7.6462406,3.0091503,3.6170232,-10.9949,58.163029,-74.148433
306,3.05,-5.603666,-3.2393429,3.6843437,-11.046438,23.875706,-28.152001
307,3.06,-3.6291189,-9.3745042,3.3868697,-10.608976,-11.873028,19.780133
308,3.07,-1.9010995,-15.157368,2.8008266,-9.7855628,-43.027218,61.487581
309,3.08,-0.55193828,-20.410994,2.0241146,-8.7074623,-66.123206,92.369229
310,3.09,0.33500303,-25.023496,1.1446416,-7.490848,-80.672602,111.89736
311,3.1,0.71770168,-28.936937,0.22790043,-6.2201971,-88.006945,122.00918
312,3.11,0.58465219,-32.13214,-0.68229033,-4.9498985,-90.015033,125.3563
313,3.12,-0.054993985,-34.615121,-1.5584822,-3.7120908,-88.417801,124.30595
314,3.13,-1.1788628,-36.407139,-2.384085,-2.5246803,-84.512791,120.59602
315,3.14,-2.7564275,-37.538187,-3.1492942,-1.3972482,-79.184877,115.36081
316,3.15,-4.7522401,-38.043173,-3.8483401,-0.33502221,-72.998017,109.26867
317,3.16,-7.1278735,-37.959933,-4.4777186,0.65860247,-66.29124,102.66453
318,3.17,-9.843018,-37.328439,-5.0351005,1.5806087,-59.255868,95.688596
319,3.18,-12.855972,-36.190786,-5.5184855,2.4272856,-51.977628,88.341324
320,3.19,-16.123682,-34.591741,-5.9255446,3.1935,-44.463149,80.528067
321,3.2,-19.601404,-32.579683,-6.2530417,3.8721254,-36.654188,72.084384
322,3.21,-23.24208,-30.207819,-6.496381,4.453674,-28.440684,62.798034
323,3.22,-26.995526,-27.535491,-6.6494106,4.9262966,-19.682201,52.440853
324,3.23,-30.807676,-24.629273,-6.7046852,5.2764151,-10.245704,40.821514
325,3.24,-34.62018,-21.563417,-6.6543848,5.4902387,-0.061872656,27.862076
326,3.25,-38.370749,-18.419155,-6.4919278,5.5561936,10.809841,13.684353
327,3.26,-41.994506,-15.28251,-6.2139858,5.4678315,22.132745,-1.3293567
328,3.27,-45.426359,-12.240668,-5.8222449,5.2262864,33.493644,-16.546122
329,3.28,-48.603988,-9.3775066,-5.3241578,4.8412295,44.370355,-31.185835
330,3.29,-51.4708,-6.7692599,-4.7322895,4.3297945,54.248001,-44.490946
